year,id,regional_unit,pre_county_id,post_county_id,reform_type,population,pre_name,post_name
1963,09/1963/0029,Gemeinde,09431,09411,2,91,Memmelsdorf,"Bamberg, Stadt"
1964,03/1964/0014,Gemeinde,03234,03242,1,8552,Geismar,"Göttingen, Stadt"
1964,03/1964/0014,Gemeinde,03234,03242,1,5401,Grone,"Göttingen, Stadt"
1964,03/1964/0014,Gemeinde,03234,03242,1,606,Nikolausberg,"Göttingen, Stadt"
1964,03/1964/0014,Gemeinde,03234,03242,1,7883,Weende,"Göttingen, Stadt"
1964,05/1964/0003,Gemeinde,05538,05536,2,208,Nordwalde,"Greven, Stadt"
1964,08/1964/0010,Gemeinde,08340,08334,2,4,Feldberg (Schwarzwald),Zastler
1964,09/1964/0006,Gemeinde,09232,09235,2,19,Außernzell,Ranfels
1964,09/1964/0024,Gemeinde,09731,09747,2,3,Döpshofen,Kreuzanger
1964,09/1964/0025,Gemeinde,09731,09736,2,5,"Augsburg, gemfr. Geb.",Glöttweng
1965,01/1965/0001,Gemeinde,01112,01142,2,27,"Kiel, Stadt",Kronshagen
1965,01/1965/0001,Gemeinde,01142,01112,2,121,Kronshagen,"Kiel, Stadt"
1965,03/1965/0003,Gemeinde,03235,03212,2,47,Achtum-Uppen,"Hildesheim, Stadt               "
1965,05/1965/0001,Gemeinde,05731,05711,2,767,Brake,"Bielefeld, Stadt"
1965,08/1965/0001,Gemeinde,08138,08111,2,6,Frankenbach,"Heilbronn, Stadt"
1965,09/1965/0001,Gemeinde,09149,09133,2,7,Großholzhausen,Litzldorf
1965,09/1965/0014,Gemeinde,09642,09639,2,224,Bonnland,"Hammelburg, Stadt"
1966,01/1966/0001,Gemeinde,01142,01112,2,88,Russee,"Kiel, Stadt"
1966,03/1966/0002,Gemeinde,03241,03731,2,3,"Sankt Andreasberg, Bergstadt","Braunlage, Stadt"
1966,03/1966/0002,Gemeinde,03731,03241,2,3,"Braunlage, gemfr. Gebiet","Sankt Andreasberg, Bergstadt"
1966,03/1966/0007,Gemeinde,03132,03131,2,6,Weseloh,Affinghausen
1966,08/1966/0002,Gemeinde,08312,08334,2,16,"Freiburg im Breisgau, Stadt",Lehen
1966,08/1966/0002,Gemeinde,08334,08312,2,27,Lehen,"Freiburg im Breisgau, Stadt"
1966,09/1966/0001,Gemeinde,09147,09115,2,39,"München, gemfr. Geb.","München, Stadt"
1966,09/1966/0013,Gemeinde,09243,09251,2,70,Wotzdorf,"Hauzenberg, Markt"
1966,09/1966/0017,Gemeinde,09346,09331,2,5,Poppenricht,Traßlberg
1966,09/1966/0018,Gemeinde,09336,09340,2,29,Hessenreuth,Altenparkstein
